Player_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1626172,"MAY 14, 2025",GSW @ MIN,L,6,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,0,0,-11
1630541,"MAY 14, 2025",GSW @ MIN,L,12,3,6,0.5,2,3,0.667,4,5,0.8,1,0,1,2,2,0,1,2,12,10
1641764,"MAY 14, 2025",GSW @ MIN,L,39,11,19,0.579,4,6,0.667,2,5,0.4,2,4,6,4,2,0,2,3,28,-2
1630228,"MAY 14, 2025",GSW @ MIN,L,32,11,23,0.478,3,9,0.333,1,3,0.333,1,2,3,0,2,0,2,2,26,-12
1627780,"MAY 14, 2025",GSW @ MIN,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,2
1629029,"APR 30, 2025",LAL vs. MIN,L,40,7,18,0.389,2,8,0.25,12,15,0.8,0,7,7,9,1,0,2,4,28,-5
1630692,"APR 27, 2025",LAL @ MIN,L,7,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,3,0,1
1629060,"APR 30, 2025",LAL vs. MIN,L,39,9,16,0.563,5,8,0.625,0,0,0.0,3,1,4,0,0,1,1,2,23,-12
203458,"APR 25, 2025",LAL @ MIN,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2544,"APR 30, 2025",LAL vs. MIN,L,40,9,21,0.429,1,5,0.2,3,6,0.5,2,5,7,6,2,0,3,2,22,-14
1629003,"APR 25, 2025",LAL @ MIN,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
1627827,"APR 30, 2025",LAL vs. MIN,L,29,3,5,0.6,1,3,0.333,0,0,0.0,1,3,4,2,1,0,1,6,7,-2
1630559,"APR 30, 2025",LAL vs. MIN,L,41,5,14,0.357,2,10,0.2,0,0,0.0,1,4,5,2,0,0,6,4,12,-9
1628467,"APR 30, 2025",LAL vs. MIN,L,5,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,1,1,2,-1
1629637,"APR 27, 2025",LAL @ MIN,L,4,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,2,2,1
